Code
USD
EUR
GBP
RON
AUD
CAD
CHF
CZK
DKK
HUF
JPY
NOK
PLN
SEK
TRY
RUB
CNY
BGN
HRK
BRL
HKD
IDR
KRW
MXN
MYR
NZD
PHP
SGD
ZAR
MDL
AED
EGP
RSD
UAH
TWD
ILS
LBP
SYP
JOD
KWD
OMR
QAR
SAR
ARS
CLP
BOB
COP
CRC
DOP
GTQ
HNL
NIO
PYG
PEN
UYU
NGN
NAD
BYR
TND
DZD
KES
VND
MAD
PKR
THB
BYN
BDT
LKR
AFN
ALL
AZN
BBD
BMD
BND
BSD
BWP
BZD
FJD
JMD
KZT
LAK
LRD
MMK
MOP
MRO
MUR
MVR
NPR
PGK
SBD
SCR
TOP
TTD
VUV
WST
XCD
XOF
YER
